
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      9,104 K
Registry                       108 Services                   0     32,700 K
smss.exe                       556 Services                   0        580 K
csrss.exe                      716 Services                   0      2,752 K
wininit.exe                    796 Services                   0      3,600 K
services.exe                   916 Services                   0      6,388 K
lsass.exe                      964 Services                   0     23,060 K
svchost.exe                    668 Services                   0     50,396 K
fontdrvhost.exe                640 Services                   0      1,536 K
WUDFHost.exe                  1048 Services                   0      3,380 K
svchost.exe                   1132 Services                   0     18,760 K
svchost.exe                   1188 Services                   0      5,948 K
svchost.exe                   1504 Services                   0      2,732 K
svchost.exe                   1560 Services                   0      5,652 K
svchost.exe                   1672 Services                   0     10,204 K
svchost.exe                   1688 Services                   0      6,048 K
svchost.exe                   1696 Services                   0      6,672 K
svchost.exe                   1768 Services                   0     12,544 K
IntelCpHDCPSvc.exe            1780 Services                   0      2,160 K
svchost.exe                   1788 Services                   0      4,852 K
svchost.exe                   1876 Services                   0      6,432 K
svchost.exe                   1996 Services                   0     17,776 K
IntelCpHeciSvc.exe            2016 Services                   0      2,340 K
svchost.exe                   1128 Services                   0      3,136 K
svchost.exe                   2208 Services                   0     10,688 K
svchost.exe                   2316 Services                   0     13,412 K
svchost.exe                   2424 Services                   0      5,924 K
svchost.exe                   2444 Services                   0      4,492 K
svchost.exe                   2456 Services                   0      7,672 K
svchost.exe                   2464 Services                   0      1,708 K
Memory Compression            2552 Services                   0    362,644 K
svchost.exe                   2564 Services                   0      6,044 K
igfxCUIService.exe            2696 Services                   0      4,108 K
svchost.exe                   2720 Services                   0      4,772 K
svchost.exe                   2764 Services                   0      4,224 K
svchost.exe                   2772 Services                   0      6,076 K
svchost.exe                   2848 Services                   0      4,040 K
svchost.exe                   2928 Services                   0     21,044 K
svchost.exe                   2988 Services                   0     10,924 K
svchost.exe                   3016 Services                   0      3,256 K
svchost.exe                   3068 Services                   0      6,504 K
svchost.exe                   2160 Services                   0      7,340 K
svchost.exe                   3248 Services                   0     17,848 K
svchost.exe                   3272 Services                   0      6,664 K
AsusOptimization.exe          3280 Services                   0      4,260 K
spoolsv.exe                   3368 Services                   0     14,156 K
svchost.exe                   3416 Services                   0      5,700 K
WUDFHost.exe                  3468 Services                   0     11,328 K
svchost.exe                   3616 Services                   0     19,480 K
svchost.exe                   3716 Services                   0      2,940 K
RtkAudUService64.exe          3804 Services                   0      3,668 K
wlanext.exe                   3916 Services                   0      3,756 K
conhost.exe                   3948 Services                   0      2,208 K
svchost.exe                   3972 Services                   0      5,760 K
Intel_PIE_Service.exe         4068 Services                   0      3,112 K
AsusAppService.exe            3800 Services                   0     17,632 K
AsusLinkNear.exe              4016 Services                   0      6,392 K
AsusLinkRemote.exe            3152 Services                   0      2,736 K
armsvc.exe                    4100 Services                   0      2,116 K
AGMService.exe                4116 Services                   0     10,604 K
AsusSoftwareManager.exe       4128 Services                   0     10,768 K
AsusSwitch.exe                4148 Services                   0      2,364 K
AsusSystemAnalysis.exe        4176 Services                   0     10,852 K
AsusSystemDiagnosis.exe       4200 Services                   0      3,684 K
svchost.exe                   4248 Services                   0     13,632 K
OfficeClickToRun.exe          4256 Services                   0     36,848 K
svchost.exe                   4272 Services                   0      3,296 K
svchost.exe                   4284 Services                   0     34,888 K
svchost.exe                   4300 Services                   0     43,512 K
ELANFPService.exe             4348 Services                   0      2,152 K
ibtsiva.exe                   4396 Services                   0      2,328 K
esif_uf.exe                   4408 Services                   0      2,116 K
ICEsoundService64.exe         4424 Services                   0      3,628 K
OneApp.IGCC.WinService.ex     4480 Services                   0      8,456 K
IntelAudioService.exe         4524 Services                   0      7,616 K
svchost.exe                   4532 Services                   0      6,648 K
LMS.exe                       4588 Services                   0      4,484 K
svchost.exe                   4600 Services                   0      4,212 K
svchost.exe                   4608 Services                   0      1,444 K
RstMwService.exe              4668 Services                   0      2,084 K
RtkAudUService64.exe          4680 Services                   0      4,864 K
sqlwriter.exe                 4744 Services                   0      2,984 K
svchost.exe                   4752 Services                   0      3,284 K
